,2019,2020,2021,2022,2023,2024,longtitude,lattitude
".Accomack County, Virginia","33,421","33,397","33,422","33,157","33,288","33,411",37.7,75.80
".Albemarle County, Virginia","112,438","112,560","113,939","114,925","115,857","117,313",38.0,78.61
".Alleghany County, Virginia","15,222","15,194","15,007","14,764","14,698","14,632",37.85,80.05
".Amelia County, Virginia","13,260","13,267","13,311","13,419","13,596",78.61,37.32,77.97
".Amherst County, Virginia","31,311","31,313","31,391","31,512","31,559","31,650",37.55,79.10
".Appomattox County, Virginia","16,118","16,158","16,405","16,696","16,835","16,957",37.4,78.70
".Arlington County, Virginia","238,646","238,829","233,478","233,976","235,181","239,807",38.88,77.09
".Augusta County, Virginia","77,492","77,589","77,787","77,919","78,250","78,622",38.20,79.24
".Bath County, Virginia","4,207","4,188","4,094","4,077","4,070","4,071",38.117,79.65
".Bedford County, Virginia","79,483","79,581","80,281","80,798","81,628","82,182",37.25,79.47
".Bland County, Virginia","6,272","6,256","6,179","6,151","6,221","6,186",37.09,81.11
".Botetourt County, Virginia","33,592","33,641","34,002","34,092","34,154","34,129",37.57,79.78
".Brunswick County, Virginia","15,851","15,827","15,969","15,856","15,801","15,750",36.75,77.83
".Buchanan County, Virginia","20,346","20,250","19,886","19,329","18,978","18,632",37.24,81.99
".Buckingham County, Virginia","16,832","16,830","16,957","16,983","16,988","17,115",37.50,78.56
".Campbell County, Virginia","55,666","55,610","55,323","55,035","55,248","55,342",37.22,79.10
".Caroline County, Virginia","30,887","30,929","31,418","31,959","32,705","33,477",38.04,77.28
".Carroll County, Virginia","29,153","29,145","29,100","29,096","29,202","29,242",36.68,80.72
".Charles City County, Virginia","6,771","6,746","6,611","6,580","6,635","6,564",37.40,77.14
".Charlotte County, Virginia","11,530","11,539","11,500","11,427","11,387","11,258",37.04,78.61
".Chesterfield County, Virginia","364,087","365,350","371,022","378,488","384,693","389,793",37.36,77.60
".Clarke County, Virginia","14,788","14,817","14,947","15,312","15,405","15,598",39.15,77.97
".Craig County, Virginia","4,896","4,880","4,891","4,859","4,827","4,829",37.44,80.23
".Culpeper County, Virginia","52,546","52,766","53,779","54,250","55,065","56,125",38.49,77.97
".Cumberland County, Virginia","9,689","9,679","9,719","9,755","9,875","10,062",37.51,78.24
".Dickenson County, Virginia","14,130","14,077","13,867","13,714","13,594","13,411",37.09,82.34
".Dinwiddie County, Virginia","27,936","27,889","28,000","28,112","28,377","28,576",37.07,77.60
".Essex County, Virginia","10,599","10,597","10,572","10,644","10,618","10,683",37.96,76.96
".Fairfax County, Virginia","1,150,292","1,148,680","1,142,381","1,140,521","1,146,677","1,160,925",38.74,77.24
".Fauquier County, Virginia","72,964","73,010","74,068","74,686","75,256","75,865",38.72,77.79
".Floyd County, Virginia","15,476","15,473","15,514","15,625","15,693","15,658",36.94,80.32
".Fluvanna County, Virginia","27,250","27,294","27,804","28,134","28,480","28,746",37.85,78.24
".Franklin County, Virginia","54,457","54,475","55,020","55,047","55,471","55,637",36.94,79.82
".Frederick County, Virginia","91,451","91,907","94,009","94,839","96,178","98,109",39.17,78.24
".Giles County, Virginia","16,790","16,786","16,574","16,430","16,461","16,533",37.31,80.67
".Gloucester County, Virginia","38,714","38,724","39,184","39,546","40,024","40,154",37.4,76.5
".Goochland County, Virginia","24,746","24,873","25,556","26,184","27,216","28,223",37.74,77.97
".Grayson County, Virginia","15,332","15,279","15,347","15,310","15,235","15,265",36.64,81.20
".Greene County, Virginia","20,554","20,608","21,007","21,026","21,391","21,744",38.31,78.45
".Greensville County, Virginia","11,400","11,396","11,424","11,232","11,174","11,150",36.60,77.06
".Halifax County, Virginia","34,023","33,928","33,784","33,599","33,434","33,448",36.69,78.92
".Hanover County, Virginia","109,976","110,207","111,799","112,889","114,193","115,309",37.77,77.5
".Henrico County, Virginia","334,961","334,939","334,501","334,855","335,729","338,696",37.05,77.3
".Henry County, Virginia","50,945","50,848","50,268","49,765","49,636","49,385",36.65,79.9
".Highland County, Virginia","2,232","2,240","2,240","2,303","2,351","2,348",38.39,79.56
".Isle of Wight County, Virginia","38,611","38,710","39,401","40,149","40,667","40,942",36.92,76.6
