Region Type,Year,Month,Region,Population HDD,Gas HDD,Population CDD
CENSUS,1981,1,CONUS,955.00,1045.39,0.13
CENSUS,1981,1,E N CENTRAL,1380.39,1385.37,0.00
CENSUS,1981,1,E S CENTRAL,949.46,962.68,0.00
CENSUS,1981,1,MIDDLE ATLANTIC,1345.36,1337.88,0.00
CENSUS,1981,1,MOUNTAIN,788.60,861.47,0.00
CENSUS,1981,1,NEW ENGLAND,1514.75,1481.53,0.00
CENSUS,1981,1,PACIFIC,514.81,484.96,0.00
CENSUS,1981,1,SOUTH ATLANTIC,794.04,970.23,0.22
CENSUS,1981,1,W N CENTRAL,1263.81,1270.91,0.00
CENSUS,1981,1,W S CENTRAL,597.41,626.79,0.71
CENSUS,1981,2,CONUS,668.08,749.81,4.25
CENSUS,1981,2,E N CENTRAL,1027.70,1032.35,0.00
CENSUS,1981,2,E S CENTRAL,641.26,654.22,0.28
CENSUS,1981,2,MIDDLE ATLANTIC,842.86,839.48,0.00
CENSUS,1981,2,MOUNTAIN,678.46,745.44,0.73
CENSUS,1981,2,NEW ENGLAND,905.08,884.03,0.00
CENSUS,1981,2,PACIFIC,430.36,398.03,0.81
CENSUS,1981,2,SOUTH ATLANTIC,470.43,618.82,15.56
CENSUS,1981,2,W N CENTRAL,1003.59,1009.86,0.00
CENSUS,1981,2,W S CENTRAL,423.32,445.24,7.72
CENSUS,1981,3,CONUS,593.84,669.36,6.53
CENSUS,1981,3,E N CENTRAL,858.19,862.23,0.17
CENSUS,1981,3,E S CENTRAL,528.84,534.97,3.99
CENSUS,1981,3,MIDDLE ATLANTIC,849.96,845.82,0.02
CENSUS,1981,3,MOUNTAIN,636.57,702.91,1.65
CENSUS,1981,3,NEW ENGLAND,902.69,880.98,0.00
CENSUS,1981,3,PACIFIC,458.11,433.57,0.21
CENSUS,1981,3,SOUTH ATLANTIC,424.04,568.46,21.83
CENSUS,1981,3,W N CENTRAL,746.49,749.03,0.36
CENSUS,1981,3,W S CENTRAL,270.47,290.71,14.16
CENSUS,1981,4,CONUS,253.62,301.05,62.11
CENSUS,1981,4,E N CENTRAL,414.05,420.95,6.14
CENSUS,1981,4,E S CENTRAL,99.54,102.48,79.54
CENSUS,1981,4,MIDDLE ATLANTIC,399.41,393.48,1.46
CENSUS,1981,4,MOUNTAIN,312.33,352.41,57.77
CENSUS,1981,4,NEW ENGLAND,498.22,474.18,0.01
CENSUS,1981,4,PACIFIC,286.11,258.31,22.87
CENSUS,1981,4,SOUTH ATLANTIC,103.99,150.02,119.35
CENSUS,1981,4,W N CENTRAL,312.48,317.37,30.98
CENSUS,1981,4,W S CENTRAL,28.07,33.67,182.77
CENSUS,1981,5,CONUS,162.50,191.70,92.41
CENSUS,1981,5,E N CENTRAL,283.82,287.40,21.21
CENSUS,1981,5,E S CENTRAL,101.12,102.98,91.60
CENSUS,1981,5,MIDDLE ATLANTIC,189.59,186.78,42.42
CENSUS,1981,5,MOUNTAIN,249.96,289.08,94.41
CENSUS,1981,5,NEW ENGLAND,246.77,235.40,34.00
CENSUS,1981,5,PACIFIC,176.91,151.95,44.32
