wt,domain,region,region_type,source,date,tmax,tmaxclimo,tmin,tminclimo,cdd,cddclimo,hdd,hddclimo
pop,US,VA,STATE,prism,1981-01-01,38.15,46.38,27.89,27.93,0,0,31.98,27.85
pop,US,VA,STATE,prism,1981-01-02,40.45,46.25,20.09,27.82,0,0,34.73,27.96
pop,US,VA,STATE,prism,1981-01-03,40.87,46.13,14.45,27.72,0,0,37.34,28.07
pop,US,VA,STATE,prism,1981-01-04,19.52,46.02,7.98,27.63,0,0,51.25,28.18
pop,US,VA,STATE,prism,1981-01-05,29.59,45.91,8.55,27.54,0,0,45.93,28.27
pop,US,VA,STATE,prism,1981-01-06,41.05,45.82,16.96,27.45,0,0,35.99,28.37
pop,US,VA,STATE,prism,1981-01-07,40.84,45.73,12.9,27.37,0,0,38.13,28.45
pop,US,VA,STATE,prism,1981-01-08,27.09,45.65,10.15,27.29,0,0,46.38,28.53
pop,US,VA,STATE,prism,1981-01-09,30.97,45.57,16.85,27.22,0,0,41.09,28.6
pop,US,VA,STATE,prism,1981-01-10,29.2,45.51,9.71,27.15,0,0,45.55,28.67
pop,US,VA,STATE,prism,1981-01-11,24.38,45.45,6.19,27.09,0,0,49.72,28.73
pop,US,VA,STATE,prism,1981-01-12,20.75,45.4,2.6,27.03,0,0,53.32,28.79
pop,US,VA,STATE,prism,1981-01-13,28.34,45.36,9.56,26.98,0,0,46.05,28.83
pop,US,VA,STATE,prism,1981-01-14,41.17,45.32,23.11,26.93,0,0,32.86,28.87
pop,US,VA,STATE,prism,1981-01-15,38.74,45.3,26.22,26.89,0,0,32.52,28.91
pop,US,VA,STATE,prism,1981-01-16,39.82,45.28,20.44,26.85,0,0,34.87,28.93
pop,US,VA,STATE,prism,1981-01-17,31.03,45.27,13.69,26.82,0,0,42.64,28.95
pop,US,VA,STATE,prism,1981-01-18,40.56,45.27,18.66,26.79,0,0,35.39,28.97
pop,US,VA,STATE,prism,1981-01-19,55.32,45.28,27.45,26.77,0,0,23.61,28.97
pop,US,VA,STATE,prism,1981-01-20,52.95,45.3,32.5,26.75,0,0,22.27,28.97
pop,US,VA,STATE,prism,1981-01-21,38.05,45.32,27.54,26.74,0,0,32.21,28.97
pop,US,VA,STATE,prism,1981-01-22,50.56,45.35,28.53,26.74,0,0,25.46,28.95
pop,US,VA,STATE,prism,1981-01-23,43.77,45.4,27.48,26.74,0,0,29.37,28.93
pop,US,VA,STATE,prism,1981-01-24,45.98,45.45,22.35,26.74,0,0,30.83,28.9
pop,US,VA,STATE,prism,1981-01-25,52.74,45.5,25.42,26.76,0,0,25.92,28.87
pop,US,VA,STATE,prism,1981-01-26,60.14,45.57,37.2,26.77,0,0,16.33,28.83
pop,US,VA,STATE,prism,1981-01-27,57.26,45.64,34.14,26.8,0,0,19.3,28.78
pop,US,VA,STATE,prism,1981-01-28,48.45,45.73,27.51,26.83,0,0,27.02,28.72
pop,US,VA,STATE,prism,1981-01-29,46.83,45.82,22.92,26.86,0,0,30.13,28.66
pop,US,VA,STATE,prism,1981-01-30,32.98,45.92,14.98,26.9,0,0,41.02,28.59
pop,US,VA,STATE,prism,1981-01-31,38.81,46.02,13.26,26.95,0,0,38.97,28.51
pop,US,VA,STATE,prism,1981-02-01,55.88,46.14,22.06,27,0,0,26.03,28.43
pop,US,VA,STATE,prism,1981-02-02,49.89,46.26,16.58,27.06,0,0,31.77,28.34
pop,US,VA,STATE,prism,1981-02-03,26.81,46.39,11.05,27.13,0,0,46.07,28.24
pop,US,VA,STATE,prism,1981-02-04,32.31,46.53,11.79,27.2,0,0,42.95,28.14
pop,US,VA,STATE,prism,1981-02-05,31.49,46.68,14.5,27.28,0,0,42.01,28.02
pop,US,VA,STATE,prism,1981-02-06,45.17,46.83,20.56,27.36,0,0,32.14,27.9
pop,US,VA,STATE,prism,1981-02-07,48.49,46.99,25.16,27.45,0,0,28.17,27.78
pop,US,VA,STATE,prism,1981-02-08,44.48,47.16,19.71,27.55,0,0,32.91,27.65
pop,US,VA,STATE,prism,1981-02-09,40.84,47.34,21.03,27.65,0,0,34.07,27.51
pop,US,VA,STATE,prism,1981-02-10,58.93,47.52,30.38,27.76,0,0,20.35,27.36
pop,US,VA,STATE,prism,1981-02-11,60.72,47.71,13.1,27.87,0,0,28.09,27.21
pop,US,VA,STATE,prism,1981-02-12,27.62,47.91,12.84,27.99,0,0,44.77,27.05
pop,US,VA,STATE,prism,1981-02-13,37.09,48.11,17.02,28.12,0,0,37.95,26.88
pop,US,VA,STATE,prism,1981-02-14,49.48,48.32,22.32,28.25,0,0,29.1,26.71
pop,US,VA,STATE,prism,1981-02-15,53.86,48.54,24.49,28.39,0,0,25.83,26.53
pop,US,VA,STATE,prism,1981-02-16,61.03,48.76,28.81,28.54,0,0,20.08,26.35
pop,US,VA,STATE,prism,1981-02-17,62.67,48.99,41.98,28.69,0,0,12.67,26.16
pop,US,VA,STATE,prism,1981-02-18,70.38,49.23,45.8,28.85,0,0,6.91,25.96
pop,US,VA,STATE,prism,1981-02-19,62.02,49.47,49.05,29.02,0,0,9.47,25.76
pop,US,VA,STATE,prism,1981-02-20,55.91,49.72,44.3,29.19,0,0,14.89,25.55
pop,US,VA,STATE,prism,1981-02-21,57.17,49.97,45.38,29.36,0,0,13.73,25.34
pop,US,VA,STATE,prism,1981-02-22,58.07,50.23,48.45,29.54,0,0,11.74,25.11
pop,US,VA,STATE,prism,1981-02-23,58.75,50.49,34.77,29.73,0,0,18.24,24.89
pop,US,VA,STATE,prism,1981-02-24,52.66,50.76,33.01,29.93,0,0,22.17,24.66
pop,US,VA,STATE,prism,1981-02-25,55.2,51.03,32.72,30.13,0,0,21.04,24.42
pop,US,VA,STATE,prism,1981-02-26,54.23,51.31,31.43,30.33,0,0,22.17,24.18
pop,US,VA,STATE,prism,1981-02-27,58.56,51.59,30.88,30.55,0,0,20.28,23.93
pop,US,VA,STATE,prism,1981-02-28,69.42,51.88,39.03,30.76,0,0,10.78,23.68
pop,US,VA,STATE,prism,1981-03-01,57.43,52.17,35.79,30.99,0,0,18.39,23.42
pop,US,VA,STATE,prism,1981-03-02,49.9,52.47,29.76,31.21,0,0,25.17,23.16
pop,US,VA,STATE,prism,1981-03-03,46.22,52.77,23.68,31.45,0,0,30.05,22.89
pop,US,VA,STATE,prism,1981-03-04,47.92,53.07,30.39,31.69,0,0,25.84,22.62
pop,US,VA,STATE,prism,1981-03-05,44.66,53.38,32.18,31.93,0,0,26.58,22.35
pop,US,VA,STATE,prism,1981-03-06,46.35,53.68,28.01,32.18,0,0,27.82,22.07
pop,US,VA,STATE,prism,1981-03-07,44.06,54,28.01,32.43,0,0,28.97,21.78
pop,US,VA,STATE,prism,1981-03-08,47.27,54.31,30.03,32.69,0,0,26.35,21.5
pop,US,VA,STATE,prism,1981-03-09,49.3,54.63,28.04,32.96,0,0,26.33,21.21
